traj_iter,theta1,theta2,theta3,E_exact,E_rem,E_unmit,residual_rem,residual_unmit
14,0.03895777537217114,0.029391627974602375,1.201896778794903,-98.45344424024184,-98.05915643128279,-97.473995351111,0.39428780895904936,0.9794488891308362
12,0.009383943862483854,-0.022157255364749467,1.0302990555607296,-98.44301667679922,-98.03346792003123,-97.47338818529443,0.40954875676798963,0.9696284915047926
2,-0.012249715492711514,-0.08082321515647682,0.26041125342587207,-98.2867663083178,-97.95020837872642,-97.46121378759743,0.336557929591379,0.8255525207203647
12,0.0035930610016320155,0.006284700093408559,1.0296999915121021,-98.44337188911855,-98.06480009255208,-97.4682460108667,0.3785717965664759,0.975125878251859
15,0.007743537725024836,-0.02235928298154354,1.2072108822174978,-98.45432472894306,-97.99966620973832,-97.45832884057303,0.45465851920474165,0.9959958883700324
5,-0.051853779070743206,0.06295605388647421,0.5038466577446912,-98.35289590588184,-97.96511917434631,-97.44669931452307,0.3877767315355243,0.9061965913587642
2,0.07238471611782794,0.08459419790041138,0.26809826329493125,-98.29333559847518,-98.00647447343782,-97.47614360783585,0.28686112503736183,0.8171919906393299
13,0.0096243992655676,-0.034160883458160866,1.1681142037962082,-98.45227167440079,-97.96999836422253,-97.43728359510324,0.4822733101782575,1.0149880792975523
15,-0.046043484681771385,0.020467857551494724,1.1361989696995056,-98.44991954410456,-98.01230407872599,-97.4578722073455,0.43761546537857043,0.9920473367590574
15,0.015459171521884345,0.10326301428039486,1.1927366522654073,-98.44859201211672,-98.07896009461615,-97.48436387025481,0.3696319175005698,0.9642281418619092
1,0.0263270387314476,0.005520385644443589,0.1197741904728896,-98.24877788033159,-97.93657856361254,-97.44889020868838,0.31219931671904533,0.7998876716432051
14,0.049748998875474675,0.037712419021040985,1.086881773540176,-98.44667425742846,-97.99642262265752,-97.44722956289823,0.450251634770936,0.9994446945302258
7,-0.0014558801701810772,0.0324981359531321,0.7384701333547738,-98.40349036836032,-98.07883224529864,-97.47696423251462,0.3246581230616812,0.9265261358457053
6,0.052860210504292834,0.02306519388970559,0.506599494046027,-98.35531775165828,-98.0819931505495,-97.50354136389561,0.27332460110878287,0.8517763877626692
13,-0.05086238141922815,0.08155559372828869,1.0717165888940292,-98.44272810317976,-97.99590423281673,-97.45354663585263,0.4468238703630334,0.9891814673271284
14,0.07139069364280479,0.02200563349948255,1.1016647505170882,-98.44687737737499,-97.994535897483,-97.44075956357638,0.4523414798919845,1.0061178137986104
4,-0.05864388301074928,0.010896546765280336,0.3674433358042973,-98.31795383037978,-97.97415372836859,-97.45027573223473,0.34380010201118694,0.8676780981450491
12,-0.04692201041349152,-0.005417958659663585,1.1218235887345527,-98.44902980468606,-98.04436461345603,-97.462455773282,0.40466519123003764,0.9865740314040607
13,0.09480426177990071,-0.0841812813982101,1.0814006063833164,-98.4400068481176,-97.95829549011046,-97.42634500984441,0.4817113580071464,1.013661838273194
13,-0.00817391171566769,0.026027939130912767,1.133437873262165,-98.45092636612388,-98.00473704985637,-97.45231447940378,0.4461893162675068,0.9986118867200986
15,0.024635408552990956,0.00920335600880559,1.0846389549621378,-98.44780097838014,-98.03280127069885,-97.46059495679789,0.41499970768128946,0.9872060215822529
5,-0.017048354614772613,0.008478690954429591,0.46854349707381227,-98.34532717509447,-97.94978142487547,-97.4422270899917,0.39554575021900007,0.9031000851027642
